travel_id,travel_dt,State,Rate,Miles,Deducted,Final_Mile,Reimbursement
722887-202601-6-10988122-253064-20260115,1/15/2026,GA,0.3,83.34443299151637,20.82,62.52443299151637,18.75732989745491
722887-202601-6-10988122-253064-20260115,1/15/2026,AL,0.3,209.303718367404,0,209.303718367404,62.791115510221196
722887-202601-6-10988122-253064-20260115,1/15/2026,MS,0.3,106.48434631530515,0,106.48434631530515,31.945303894591543
722887-202601-6-10996517-249742-20260115,1/15/2026,SC,0.3,45.968627628775444,0,45.968627628775444,13.790588288632632
722887-202601-6-10996517-249742-20260115,1/15/2026,GA,0.3,131.25868486340357,0,131.25868486340357,39.37760545902107
722887-202602-6-10996302-249260-20260123,1/23/2026,IN,0.3,39.94362429712997,0,39.94362429712997,11.983087289138991
722887-202602-6-10996302-249260-20260123,1/23/2026,IL,0.7,18.00959015221706,0,18.00959015221706,12.606713106551942
722887-202603-6-10989500-234105-20260116,1/16/2026,WV,0.3,30.29138393626028,29.447265521875803,0.8441184143844787,0.2532355243153436
722887-202603-6-10989500-234105-20260116,1/16/2026,KY,0.3,370.52463658158445,0,370.52463658158445,111.15739097447533
722887-202603-6-10989500-234105-20260116,1/16/2026,IL,0.7,0.5527344781242057,0.5527344781242057,0,0
